station_id,taxi_zone,taxi_R_total,taxi_R_male,taxi_R_female,taxi_R_age_under_29,taxi_R_age_30_54,taxi_R_age_55_over,taxi_W_total,taxi_W_male,taxi_W_female,taxi_W_age_under_29,taxi_W_age_30_54,taxi_W_age_55_over,startCount_0,endCount_0,startCount_1,endCount_1,startCount_2,endCount_2,startCount_3,endCount_3,startCount_4,endCount_4,startCount_5,endCount_5,startCount_6,endCount_6,startCount_7,endCount_7,startCount_8,endCount_8,startCount_9,endCount_9,startCount_10,endCount_10,startCount_11,endCount_11,startCount_12,endCount_12,startCount_13,endCount_13,startCount_14,endCount_14,startCount_15,endCount_15,startCount_16,endCount_16,startCount_17,endCount_17,startCount_18,endCount_18,startCount_19,endCount_19,startCount_20,endCount_20,startCount_21,endCount_21,startCount_22,endCount_22,startCount_23,endCount_23,label,capacity,lat,lon,name,short_name
3112,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,81.0,112.0,56.0,58.0,19.0,35.0,13.0,34.0,2.0,17.0,3.0,3.0,54.0,32.0,82.0,75.0,227.0,245.0,250.0,367.0,215.0,309.0,253.0,269.0,315.0,325.0,333.0,378.0,390.0,327.0,435.0,387.0,406.0,399.0,476.0,359.0,492.0,413.0,410.0,451.0,277.0,299.0,228.0,195.0,190.0,174.0,123.0,134.0,0,33,40.72906,-73.95779,Milton St & Franklin St,5752.07
3113,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,41.0,97.0,34.0,50.0,12.0,26.0,8.0,16.0,7.0,13.0,5.0,16.0,26.0,28.0,104.0,85.0,335.0,178.0,288.0,262.0,211.0,193.0,246.0,214.0,264.0,226.0,293.0,247.0,269.0,283.0,223.0,271.0,230.0,238.0,269.0,346.0,297.0,363.0,333.0,356.0,273.0,251.0,182.0,187.0,140.0,141.0,81.0,132.0,2,26,40.73026,-73.95394,Greenpoint Ave & Manhattan Ave,5785.05
3115,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,50.0,68.0,34.0,51.0,12.0,23.0,1.0,15.0,1.0,11.0,13.0,5.0,34.0,4.0,122.0,32.0,295.0,141.0,330.0,137.0,204.0,143.0,190.0,146.0,237.0,167.0,231.0,184.0,244.0,242.0,210.0,218.0,222.0,224.0,233.0,325.0,272.0,498.0,294.0,343.0,167.0,296.0,156.0,255.0,99.0,190.0,83.0,117.0,2,34,40.73232194,-73.9550858,India St & Manhattan Ave,5826.02
3116,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,25.0,40.0,13.0,28.0,7.0,13.0,0.0,11.0,1.0,5.0,8.0,0.0,36.0,4.0,51.0,13.0,222.0,31.0,119.0,16.0,66.0,56.0,66.0,45.0,76.0,78.0,88.0,67.0,82.0,76.0,90.0,72.0,87.0,72.0,74.0,120.0,83.0,157.0,61.0,111.0,67.0,122.0,31.0,93.0,36.0,76.0,19.0,52.0,2,35,40.73266,-73.95826,Huron St & Franklin St,5869.04
3117,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,21.0,63.0,11.0,44.0,5.0,19.0,5.0,4.0,8.0,12.0,9.0,2.0,43.0,23.0,118.0,48.0,388.0,72.0,207.0,85.0,123.0,107.0,148.0,126.0,160.0,130.0,194.0,204.0,187.0,145.0,164.0,187.0,139.0,166.0,171.0,224.0,169.0,276.0,145.0,261.0,97.0,205.0,65.0,136.0,41.0,89.0,66.0,89.0,2,27,40.73564,-73.95866,Franklin St & Dupont St,5944.01
3118,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,40.0,48.0,23.0,32.0,12.0,20.0,4.0,13.0,6.0,4.0,5.0,0.0,30.0,25.0,126.0,36.0,384.0,80.0,279.0,88.0,166.0,101.0,168.0,134.0,139.0,154.0,213.0,134.0,188.0,184.0,195.0,181.0,175.0,230.0,165.0,229.0,189.0,271.0,162.0,294.0,121.0,209.0,123.0,142.0,89.0,149.0,47.0,83.0,2,30,40.73555,-73.95284000000002,McGuinness Blvd & Eagle St,5977.01
3119,145,10352,5488.000000000003,4863.999999999997,2167.000000000004,6858.000000000001,1327.0000000000039,31940,20407.99999999998,11532.000000000016,5670.999999999985,19271.000000000004,6998.000000000008,96.0,46.0,60.0,31.0,29.0,10.0,13.0,9.0,3.0,11.0,2.0,37.0,27.0,158.0,96.0,403.0,222.0,1079.0,298.0,577.0,206.0,390.0,226.0,296.0,284.0,343.0,307.0,338.0,336.0,300.0,398.0,352.0,450.0,349.0,751.0,391.0,785.0,436.0,604.0,355.0,452.0,249.0,370.0,165.0,268.0,135.0,154.0,89.0,0,45,40.74232744,-73.95411749,Vernon Blvd & 50 Ave,6170.02
3120,145,10352,5488.000000000003,4863.999999999997,2167.000000000004,6858.000000000001,1327.0000000000039,31940,20407.99999999998,11532.000000000016,5670.999999999985,19271.000000000004,6998.000000000008,24.0,32.0,8.0,10.0,4.0,15.0,5.0,9.0,4.0,8.0,10.0,3.0,44.0,3.0,57.0,32.0,139.0,80.0,82.0,83.0,115.0,60.0,107.0,73.0,119.0,120.0,157.0,149.0,132.0,118.0,131.0,184.0,161.0,184.0,149.0,264.0,179.0,229.0,143.0,187.0,80.0,110.0,50.0,99.0,57.0,88.0,23.0,51.0,2,20,40.74161,-73.96044,Center Blvd & Borden Ave,6179.05
3121,145,10352,5488.000000000003,4863.999999999997,2167.000000000004,6858.000000000001,1327.0000000000039,31940,20407.99999999998,11532.000000000016,5670.999999999985,19271.000000000004,6998.000000000008,35.0,19.0,21.0,10.0,12.0,2.0,10.0,2.0,4.0,1.0,0.0,5.0,46.0,21.0,37.0,21.0,77.0,99.0,86.0,104.0,52.0,41.0,52.0,78.0,90.0,147.0,125.0,147.0,121.0,153.0,153.0,160.0,161.0,153.0,185.0,183.0,192.0,126.0,107.0,87.0,91.0,57.0,66.0,43.0,27.0,29.0,38.0,15.0,2,27,40.74524768,-73.94733276,Jackson Ave & 46 Rd,6203.02
3122,145,10352,5488.000000000003,4863.999999999997,2167.000000000004,6858.000000000001,1327.0000000000039,31940,20407.99999999998,11532.000000000016,5670.999999999985,19271.000000000004,6998.000000000008,12.0,21.0,8.0,7.0,4.0,7.0,0.0,2.0,0.0,0.0,3.0,5.0,14.0,1.0,25.0,6.0,53.0,13.0,65.0,17.0,67.0,25.0,53.0,31.0,70.0,60.0,70.0,62.0,71.0,71.0,58.0,68.0,48.0,70.0,47.0,90.0,49.0,86.0,44.0,59.0,31.0,68.0,27.0,39.0,17.0,46.0,19.0,21.0,2,31,40.74436328706688,-73.95587325096129,48 Ave & 5 St,6212.04
3123,226,26134,13517.999999999987,12616.000000000013,5695.00000000001,15194.00000000001,5245.000000000005,45297,27517.0,17780.000000000004,8404.0,26164.0,10729.0,6.0,17.0,8.0,8.0,8.0,17.0,5.0,2.0,4.0,0.0,13.0,0.0,4.0,2.0,11.0,49.0,77.0,105.0,24.0,91.0,15.0,53.0,37.0,31.0,59.0,52.0,41.0,45.0,57.0,36.0,58.0,49.0,78.0,56.0,109.0,69.0,117.0,72.0,60.0,56.0,31.0,36.0,25.0,33.0,19.0,27.0,5.0,20.0,2,27,40.74469738,-73.93540375,31 St & Thomson Ave,6227.02
