tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
126,9790,0.48038815117466804,0.2636363636363636,0.559652706843718,0.1767109295199183,0.5835546475995914,0.3303370786516854,0.04279877425944842,0.018692543411644537,0.024616956077630234,0.18018386108273748,0.18692543411644535,0.21542390194075586,0.15383043922369766
127,17086,0.4863631042959148,0.23130047992508487,0.5702329392485076,0.19846658082640758,0.741367201217371,0.17318272269694487,0.04688048694837879,0.01451480744469156,0.024054781692613835,0.14725506262437082,0.16762261500643802,0.2147957392016856,0.23902610324242068
128,174,0.5574712643678161,0.25287356321839083,0.5402298850574713,0.20689655172413793,0.4885057471264368,0.29310344827586204,0.12643678160919541,0.040229885057471264,0.05172413793103448,0.06321839080459771,0.20114942528735633,0.22413793103448276,0.25862068965517243
129,41474,0.5182041761103342,0.20340454260500554,0.5670540579640256,0.2295413994309688,0.6981723489415055,0.08730771085499349,0.1843805757824179,0.010681390750831847,0.019457973670251243,0.14394560447509283,0.169913680860298,0.2128562472874572,0.2698799247721464
130,21511,0.49077216307935473,0.2264887731858119,0.5502766026684022,0.22323462414578588,0.4879364046301892,0.28436613825484636,0.18832225373064942,0.013946353028682999,0.025428850355632002,0.14838919622518712,0.18320859095346567,0.22072428060062294,0.22118915903491237
131,11682,0.4825372367745249,0.1881527135764424,0.5438281116247218,0.2680191747988358,0.44615648005478514,0.30996404725218285,0.21006676938880328,0.011299435028248588,0.02251326827598014,0.11736004108885464,0.1706899503509673,0.2295839753466872,0.29421331963704844
132,138,0.4927536231884058,0.2028985507246377,0.4927536231884058,0.30434782608695654,0.5652173913043478,0.21739130434782608,0.16666666666666666,0.021739130434782608,0.028985507246376812,0.06521739130434782,0.18840579710144928,0.2971014492753623,0.2463768115942029
133,14070,0.4821606254442075,0.2216773276474769,0.5564321250888415,0.2218905472636816,0.6673063255152807,0.14243070362473348,0.15920398009950248,0.009026297085998579,0.02203269367448472,0.11393034825870647,0.16531627576403696,0.2148542999289268,0.2842217484008529
134,11458,0.4961598882876593,0.18676906964566242,0.5850933845348228,0.22813754581951476,0.7002094606388549,0.13571303892476871,0.1373712689823704,0.010036655611799616,0.016669575842206318,0.11049048699598533,0.16425205096875545,0.2277884447547565,0.31069994763484027
135,14922,0.4823080016083635,0.21015949604610643,0.5420184961801368,0.24782200777375687,0.6454228655676183,0.13671089666264577,0.1901889827100925,0.007438681141938078,0.0202385739177054,0.10320332395121297,0.15963007639726579,0.22376357056694812,0.3032435330384667
136,11177,0.48224031493245056,0.25489845217858104,0.5490739912319943,0.19602755658942472,0.6036503534043124,0.30186991142524827,0.058781426142972173,0.015836091974590676,0.019862217052876444,0.17446542005904983,0.1810861590766753,0.21615818198085354,0.1733917867048403
137,12006,0.47259703481592535,0.3489088788938864,0.47842745294019656,0.17266366816591705,0.7482925204064634,0.09120439780109946,0.13568215892053972,0.00741296018657338,0.017407962685324005,0.062552057304681,0.11177744461102782,0.16958187572880226,0.30717974346160254
138,106,0.49056603773584906,0.2641509433962264,0.41509433962264153,0.32075471698113206,0.5094339622641509,0.2358490566037736,0.1792452830188679,0.02830188679245283,0.04716981132075472,0.08490566037735849,0.14150943396226415,0.25471698113207547,0.25471698113207547
139,12028,0.43939142001995346,0.20676754240106418,0.5419853674758895,0.25124709012304625,0.19762221483205852,0.7268041237113402,0.048636514798802793,0.007981376787495843,0.018955769870302626,0.12628865979381443,0.19546059195211174,0.25914532756900566,0.212337878284004
140,14754,0.46265419547241426,0.23810492069947134,0.5788260810627627,0.18306899823776604,0.8010031177985631,0.052867019113460756,0.12437305137589806,0.005083367222448149,0.01667344448962993,0.061881523654602144,0.12145858750169446,0.19276128507523382,0.38579368306899825
141,19700,0.4521827411167513,0.23253807106598984,0.5696954314720812,0.19776649746192893,0.8539086294416244,0.040558375634517765,0.08934010152284264,0.0046700507614213195,0.01152284263959391,0.05558375634517766,0.12390862944162437,0.1901522842639594,0.3978172588832487
142,14612,0.49849438817410346,0.17944155488639474,0.5990281960032849,0.2215302491103203,0.8253490281960033,0.052354229400492745,0.10327128387626608,0.005201204489460717,0.01382425403777717,0.06296194908294553,0.13016698603887217,0.20551601423487545,0.4219134957569121
