tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
26,50264,0.3981378322457425,0.21019019576635364,0.5451217571223937,0.24468804711125258,0.7096331370364476,0.1906135604010823,0.08047509151679134,0.006485755212478115,0.0127924558332007,0.11710170300811715,0.17664730224415087,0.2284537641254178,0.26760703485596055
27,740,0.5391891891891892,0.15675675675675677,0.5256756756756756,0.31756756756756754,0.7,0.17162162162162162,0.10675675675675676,0.005405405405405406,0.016216216216216217,0.07567567567567568,0.12432432432432433,0.1783783783783784,0.4648648648648649
28,6762,0.4401064773735581,0.16075125702454895,0.5788228334812185,0.2604259094942325,0.5254362614611062,0.30819284235433303,0.14359656906240756,0.00916888494528246,0.013605442176870748,0.11401952085181899,0.16341319136350194,0.2611653356994972,0.30065069506063297
29,12268,0.3540919465275513,0.131887838278448,0.5679002282360613,0.3002119334854907,0.5868112161721551,0.2380991196609064,0.14533746331920444,0.010433648516465601,0.019318552331268342,0.14077274209325075,0.18226279752200847,0.2428268666449299,0.3022497554613629
30,503,0.4294234592445328,0.20874751491053678,0.6063618290258449,0.1848906560636183,0.6978131212723658,0.23061630218687873,0.03777335984095427,0.015904572564612324,0.017892644135188866,0.2047713717693837,0.20278330019880716,0.2147117296222664,0.16898608349900596
31,869,0.49252013808975836,0.27387802071346373,0.475258918296893,0.2508630609896433,0.7284234752589183,0.2048331415420023,0.04602991944764097,0.005753739930955121,0.014959723820483314,0.09090909090909091,0.14959723820483314,0.2646720368239356,0.22094361334867663
32,5973,0.30805290473798763,0.16390423572744015,0.5616942909760589,0.27440147329650094,0.5385903231207099,0.36916122551481667,0.06110832077682907,0.009710363301523523,0.021429767286120876,0.16909425749204754,0.19822534739661812,0.2415871421396283,0.22718901724426585
33,15811,0.41686167857820505,0.2213648725570805,0.5534121813927013,0.2252229460502182,0.6143191448991209,0.28385301372462207,0.07418885585984442,0.00872810068939346,0.018910884827019164,0.11751312377458731,0.1745620137878692,0.2252861931566631,0.2612737967237999
34,3504,0.5878995433789954,0.24942922374429224,0.5439497716894978,0.20662100456621005,0.6095890410958904,0.2268835616438356,0.13327625570776255,0.009988584474885844,0.02026255707762557,0.15325342465753425,0.1903538812785388,0.22003424657534246,0.18692922374429224
35,7195,0.46226546212647673,0.21890201528839473,0.5798471160528145,0.20125086865879083,0.5013203613620569,0.38596247394023625,0.09228630993745657,0.008061153578874217,0.012369701181375956,0.12300208478109799,0.17192494788047255,0.22918693537178597,0.2569840166782488
36,13133,0.4482601081245717,0.1793192720627427,0.5704713317596893,0.25020939617756793,0.5975024746820985,0.2477727861113226,0.12312495240995965,0.014467372268331684,0.01713241452828752,0.16530876418183202,0.19180689865225006,0.23627503236122743,0.22729003274194776
