capacity,lat,lon,name,short_name,station_id
19,40.680356084043396,-73.94767910242079,Verona Pl & Fulton St,4124.04,3249
19,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,6450.05,3255
22,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,5696.03,3256
37,40.750181563256824,-74.00218427181244,W 27 St & 10 Ave,6382.08,3258
27,40.74937024193277,-73.99923384189607,9 Ave & W 28 St,6416.08,3259
31,40.72706363348306,-73.99662137031554,Mercer St & Bleecker St,5679.05,3260
59,40.729514962249496,-73.99075269699097,Cooper Square & Astor Pl,5712.03,3263
14,40.7124188237569,-74.03852552175522,Morris Canal,JC072,3267
14,40.71346382669195,-74.06285852193831,Lafayette Park,JC078,3268
14,40.726011729646245,-74.0503889322281,Brunswick & 6th,JC081,3269
14,40.72528910781132,-74.04557168483734,Jersey & 6th St,JC027,3270
14,40.723331586464354,-74.04595255851744,Jersey & 3rd,JC074,3272
18,40.72165072487999,-74.04288411140442,Manila & 1st,JC082,3273
14,40.71835519823214,-74.03891444206238,Columbus Drive,JC014,3275
26,40.71458403535893,-74.04281705617905,Marin Light Rail,JC013,3276
14,40.71435836870427,-74.06661093235016,Communipaw & Berry Lane,JC084,3277
14,40.72568548362901,-74.0487903356552,Monmouth and 6th,JC075,3278
18,40.72163014263835,-74.04996782541275,Dixon Mills,JC076,3279
14,40.71928220070703,-74.07126188278198,Astor Place,JC077,3280
14,40.74590996631558,-74.05727148056029,Leonard Gordon Park,JC080,3281
38,40.78307,-73.95939,5 Ave & E 88 St,7323.10,3282
47,40.7882213,-73.97041561,W 89 St & Columbus Ave,7432.09,3283
38,40.781410700190015,-73.95595908164978,E 88 St & Park Ave,7293.10,3284
43,40.78839,-73.9747,W 87 St & Amsterdam Ave,7458.03,3285
39,40.7806284,-73.9521667,E 89 St & 3 Ave,7265.10,3286
39,40.778301,-73.9488134,E 88 St & 1 Ave,7235.13,3288
32,40.79017948095081,-73.97288918495178,W 90 St & Amsterdam Ave,7432.04,3289
35,40.7779453,-73.94604100000001,E 89 St & York Ave,7204.08,3290
43,40.785785100000005,-73.957481,5 Ave & E 93 St,7372.10,3292
24,40.7921,-73.9739,W 92 St & Broadway,7502.01,3293
