capacity,lat,lon,name,short_name,station_id,empytCount_0,empytCount_1,empytCount_2,empytCount_3,empytCount_4,empytCount_5,empytCount_6,empytCount_7,empytCount_8,empytCount_9,empytCount_10,empytCount_11,empytCount_12,empytCount_13,empytCount_14,empytCount_15,empytCount_16,empytCount_17,empytCount_18,empytCount_19,empytCount_20,empytCount_21,empytCount_22,empytCount_23
22,40.7241765,-74.05065640000002,Brunswick St,JC023,3209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,16.0,0.0,41.0,41.0,21.0,11.0,0.0,21.0,23.0,5.0,16.0,4.0,0.0,0.0
18,40.742677141,-74.051788633,Pershing Field,JC024,3210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,68.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
22,40.72152515,-74.046304543,Newark Ave,JC032,3211,22.0,13.0,17.0,119.0,50.0,13.0,82.0,90.0,13.0,12.0,23.0,15.0,17.0,22.0,7.0,10.0,5.0,10.0,0.0,6.0,2.0,0.0,0.0,6.0
22,40.734785818,-74.050443636,Christ Hospital,JC034,3212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,40.71848892,-74.047726625,Van Vorst Park,JC035,3213,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,46.0,17.0,12.0,19.0,26.0,4.0,0.0,9.0,3.0,1.0,0.0,1.0
22,40.71277420000001,-74.03648570000001,Essex Light Rail,JC038,3214,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
18,40.73496102000952,-74.05950307846071,5 Corners Library,JC018,3220,8.0,77.0,0.0,28.0,32.0,17.0,52.0,138.0,35.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
27,40.743,-73.93561,47 Ave & 31 St,6151.03,3221,0.0,0.0,0.0,24.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
53,40.758996559605116,-73.96865397691727,E 55 St & 3 Ave,6691.12,3223,65.0,72.0,41.0,20.0,64.0,75.0,16.0,19.0,16.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,7.0,5.0,11.0,9.0,29.0,40.0,53.0
13,40.7236589,-74.0641943,Baldwin at Montgomery,JC020,3225,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,112.0,5.0,0.0,3.0,5.0,13.0,0.0,12.0,8.0,0.0,0.0
45,40.78275,-73.97137,W 82 St & Central Park West,7304.08,3226,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,34.0,28.0,17.0,16.0,12.0,8.0,7.0,6.0,0.0,0.0
39,40.76780080148132,-73.96592080593109,E 67 St & Park Ave,6932.14,3231,126.0,72.0,7.0,55.0,55.0,12.0,98.0,85.0,25.0,20.0,0.0,3.0,9.0,4.0,6.0,2.0,7.0,6.0,9.0,5.0,6.0,16.0,14.0,21.0
31,40.68962188790333,-73.98304268717766,Bond St & Fulton St,4479.06,3232,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave,6626.01,3233,182.0,24.0,98.0,87.0,19.0,136.0,110.0,108.0,13.0,0.0,3.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,6.0,5.0,20.0,36.0,76.0
