is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,eightd_has_available_keys,id_num
1,1,1,1541436608,26,0,1,0,0,545,False,
1,1,1,1541436873,16,0,22,0,0,546,False,
1,1,1,1541434773,25,4,1,0,1,2000,False,
0,0,0,1,0,0,0,0,0,2001,False,
1,1,1,1541437030,19,2,6,0,0,2002,False,
1,1,1,1541436654,2,2,35,0,0,2003,False,
1,1,1,1541436141,7,0,5,0,0,2005,False,
1,1,1,1541436931,13,1,35,0,0,2006,True,
1,1,1,1541431827,6,1,17,0,0,2008,True,
1,1,1,1541434810,17,1,16,1,0,2009,False,
1,1,1,1541436708,28,3,8,0,1,2010,False,
1,1,1,1541436883,33,1,2,0,0,2012,False,
1,1,1,1541435685,0,0,42,1,0,2021,False,
1,1,1,1541436895,24,1,8,0,0,2022,False,
1,1,1,1541436411,32,0,4,0,0,2023,False,
1,1,1,1541436945,20,4,1,0,0,3002,True,
1,1,1,1541437027,30,1,16,0,0,3016,False,
1,1,1,1541435214,1,1,21,1,0,3041,False,
1,1,1,1541433056,10,4,5,0,1,3042,False,
1,1,1,1541436072,8,0,11,0,0,3043,False,
1,1,1,1541429971,3,1,22,1,0,3044,False,
1,1,1,1541422841,8,0,11,0,0,3046,False,
1,1,1,1541434562,7,1,13,0,0,3047,False,
1,1,1,1541425911,6,0,13,0,0,3048,False,
1,1,1,1541437071,5,1,12,0,0,3049,False,
1,1,1,1541433554,2,1,18,0,0,3050,False,
1,1,1,1541427365,2,2,19,0,0,3052,False,
1,1,1,1541430920,1,0,18,4,0,3053,False,
1,1,1,1541436383,7,0,12,0,0,3054,False,
1,1,1,1541425817,2,2,19,0,0,3055,False,
1,1,1,1541424276,0,0,23,0,0,3056,False,
1,1,1,1541436743,10,0,8,0,0,3057,False,
1,1,1,1541423533,8,2,14,0,0,3058,False,
1,1,1,1541435223,2,0,16,1,0,3059,False,
1,1,1,1541436613,2,0,17,0,0,3060,False,
